ZeroLevelPlot,Point1 Latitude,Point1 Longitude,Point1 Name,Point2 Latitude,Point2 Longitude,Point2 Name,Point3 Latitude,Point3 Longitude,Point3 Name
ZL0185,10.957051008738294,76.97700153856584,FC0081,10.95715795433141,76.96869087042191,DC028,10.964572440406615,76.97295530977532,FC0057
ZL0186,10.95715795433141,76.96869087042191,DC028,10.964572440406615,76.97295530977532,FC0057,10.964678907311397,76.964644832545,FC0058
ZL0187,10.95715795433141,76.96869087042191,DC028,10.957264664585736,76.96038100622008,FC0082,10.964678907311397,76.964644832545,FC0058
ZL0188,10.957264664585736,76.96038100622008,FC0082,10.964678907311397,76.964644832545,FC0058,10.964785138785722,76.95633515940902,FC0059
ZL0189,10.957264664585736,76.96038100622008,FC0082,10.957371139561815,76.95207194619324,DC029,10.964785138785722,76.95633515940902,FC0059
ZL0190,10.957371139561815,76.95207194619324,DC029,10.964785138785722,76.95633515940902,FC0059,10.964891134890214,76.94802629060018,FC0060
ZL0191,10.957371139561815,76.95207194619324,DC029,10.957477379320267,76.94376369057413,FC0083,10.964891134890214,76.94802629060018,FC0060
ZL0192,10.957477379320267,76.94376369057413,FC0083,10.964891134890214,76.94802629060018,FC0060,10.964996895685552,76.93971822635113,FC0061
ZL0193,10.957477379320267,76.94376369057413,FC0083,10.957583383921653,76.93545623959527,DC030,10.964996895685552,76.93971822635113,FC0061
ZL0194,10.957583383921653,76.93545623959527,DC030,10.965102421232402,76.93141096689432,FC0084,10.964996895685552,76.93971822635113,FC0061
ZL0195,10.965102421232402,76.93141096689432,FC0084,10.964996895685552,76.93971822635113,FC0061,10.972515984407424,76.93567275778297,FC0062
ZL0196,10.965102421232402,76.93141096689432,FC0084,10.972621030794402,76.92736568993146,DC031,10.972515984407424,76.93567275778297,FC0062
ZL0197,10.972621030794402,76.92736568993146,DC031,10.972515984407424,76.93567275778297,FC0062,10.980034645150404,76.93162728491,FC0063
ZL0198,10.972621030794402,76.92736568993146,DC031,10.980139212272269,76.92332040874699,FC0085,10.980034645150404,76.93162728491,FC0063
